DATE,ATNHPIUS14454Q
1977-10-01,25.09
1978-01-01,24.83
1978-04-01,26.61
1978-07-01,30.04
1978-10-01,29.88
1979-01-01,32.17
1979-04-01,31.86
1979-07-01,32.89
1979-10-01,33.48
1980-01-01,34.17
1980-04-01,36.01
1980-07-01,37.70
1980-10-01,38.32
1981-01-01,39.94
1981-04-01,41.60
1981-07-01,42.83
1981-10-01,42.93
1982-01-01,43.55
1982-04-01,42.92
1982-07-01,44.10
1982-10-01,44.33
1983-01-01,45.65
1983-04-01,48.05
1983-07-01,50.40
1983-10-01,52.78
1984-01-01,53.84
1984-04-01,57.66
1984-07-01,61.53
1984-10-01,63.55
1985-01-01,67.18
1985-04-01,72.40
1985-07-01,77.53
1985-10-01,82.62
1986-01-01,86.18
1986-04-01,90.15
1986-07-01,94.53
1986-10-01,99.53
1987-01-01,102.89
1987-04-01,105.05
1987-07-01,108.73
1987-10-01,109.49
1988-01-01,109.74
1988-04-01,112.45
1988-07-01,111.75
1988-10-01,112.87
1989-01-01,111.47
1989-04-01,111.12
1989-07-01,112.39
1989-10-01,112.72
1990-01-01,111.14
1990-04-01,108.08
1990-07-01,106.99
1990-10-01,103.45
1991-01-01,102.30
1991-04-01,101.07
1991-07-01,100.33
1991-10-01,100.88
1992-01-01,100.48
1992-04-01,99.29
1992-07-01,100.01
1992-10-01,100.11
1993-01-01,99.63
1993-04-01,100.36
1993-07-01,100.55
1993-10-01,101.09
1994-01-01,101.45
1994-04-01,100.30
1994-07-01,100.31
1994-10-01,99.63
1995-01-01,100.00
1995-04-01,102.35
1995-07-01,104.22
1995-10-01,104.76
1996-01-01,106.43
1996-04-01,106.54
1996-07-01,107.20
1996-10-01,108.74
1997-01-01,109.57
1997-04-01,111.46
1997-07-01,113.29
1997-10-01,115.22
1998-01-01,116.81
1998-04-01,119.55
1998-07-01,122.94
1998-10-01,125.13
1999-01-01,128.12
1999-04-01,132.48
1999-07-01,138.75
1999-10-01,142.38
2000-01-01,148.67
2000-04-01,153.78
2000-07-01,159.84
2000-10-01,163.73
2001-01-01,168.35
2001-04-01,173.55
2001-07-01,179.23
2001-10-01,183.29
2002-01-01,189.47
2002-04-01,196.73
2002-07-01,203.02
2002-10-01,208.04
2003-01-01,212.73
2003-04-01,216.63
2003-07-01,220.57
2003-10-01,230.99
2004-01-01,234.74
2004-04-01,240.05
2004-07-01,251.72
2004-10-01,256.06
2005-01-01,260.95
2005-04-01,266.88
2005-07-01,269.64
2005-10-01,271.99
2006-01-01,272.17
2006-04-01,267.46
2006-07-01,265.88
2006-10-01,266.17
2007-01-01,263.14
2007-04-01,258.90
2007-07-01,253.82
2007-10-01,253.97
2008-01-01,253.46
2008-04-01,245.07
2008-07-01,239.56
2008-10-01,240.10
2009-01-01,239.74
2009-04-01,233.87
2009-07-01,229.24
2009-10-01,229.86
2010-01-01,228.09
2010-04-01,228.30
2010-07-01,230.07
2010-10-01,229.89
2011-01-01,226.37
2011-04-01,224.08
2011-07-01,225.82
2011-10-01,225.71
2012-01-01,224.83
2012-04-01,224.25
2012-07-01,225.83
2012-10-01,226.69
2013-01-01,227.86
2013-04-01,230.20
2013-07-01,233.71
2013-10-01,235.65
2014-01-01,238.09
2014-04-01,243.55
2014-07-01,246.45
2014-10-01,249.35
2015-01-01,249.80
2015-04-01,253.87
2015-07-01,259.24
2015-10-01,261.92
2016-01-01,265.20
2016-04-01,269.69
2016-07-01,273.94
2016-10-01,277.71
2017-01-01,279.84
2017-04-01,289.15
